round,param_value,reward,loss,cost
619,64,-622.9775333308729,0.06283957046724799,34.02146115233359
620,64,-310.67598419739664,0.06120059389877642,2.2424381683155663
621,64,-583.4819195203851,0.06032213344433359,17.9567850438224
622,64,-245.8832247858919,0.05795717960589858,2.230948551860189
623,64,-342.7029478664204,0.057459664331884396,37.39835389202995
624,64,-262.67720707342414,0.05606669288364426,2.2395222934955705
625,64,-535.1875972361299,0.05519338710021108,29.55657361884947
626,64,-845.2081449965749,0.054127822984411524,48.89866042614062
627,64,-957.541198084185,0.053572862309055856,21.352558746071534
628,64,-926.1071462190043,0.05250945956124223,47.45765896407025
629,64,-498.28560448661443,0.4019826101704527,41.3465143222512
630,64,-692.9029304496173,0.25224186118227987,23.6549673015997
631,64,-709.030076227509,0.19959994104687875,21.29747940566585
632,64,-561.4747093731443,0.16520310061561247,37.512872410474095
633,64,-265.61053029282556,0.14509109154450722,2.2314465009311553
634,64,-579.4943378558283,0.12902118484809483,26.510409423177375
635,64,-428.6628274214721,0.11705653025294853,17.511491976332128
636,64,-239.7382428012473,0.10917956026727721,2.232203091329231
637,64,-552.7501868881722,0.10121020451526547,25.213010051851725
638,64,-247.34528591499372,0.09629494686618063,2.2276877665844927
639,64,-487.45977564592073,0.09045349558634601,38.32066259240588
640,64,-2061.934046962009,0.08699457713566644,41.42883651743496
641,64,-633.5104377322891,0.08189634643082236,15.475352432347243
642,64,-256.3592913157245,0.07931723550827534,2.221801701032004
643,64,-239.91510134091303,0.07624466096246024,2.2149670854791235
644,64,-456.5795881701712,0.07397608423292486,27.968242102833713
645,64,-507.9705043245049,0.07082197317146338,28.762729120587363
646,64,-1549.9066396696728,0.06913244114506009,34.25505903981211
647,64,-307.2442597657985,0.06653851280701603,2.219252935306577
648,64,-289.9854340665038,0.06557654718326898,2.220046951669405
649,64,-569.5616580667852,0.06433108618960696,35.56702113176239
650,64,-1162.2995537357815,0.0627424371036839,30.971163051730983
651,64,-1280.727503918801,0.06259021962123427,31.551955572595762
652,64,-307.5805953335685,0.06031887842722769,2.2259660464862496
653,64,-449.32734401345266,0.05940409191727737,37.183348972471315
654,64,-557.5043039947803,0.05852069999705512,17.197456175079942
655,64,-710.9411274319648,0.057266907494135995,29.733063119360562
656,64,-1658.947508487618,0.05685935790566559,45.69592488236896
657,64,-1202.6223822322193,0.05434138831704755,29.81041419756066
658,64,-1501.8357455373884,0.054351120355249076,53.22965076337326
659,64,-266.1357722466714,0.05276896442895038,2.223440794976031
660,64,-240.22421966451546,0.05214512667502561,2.216377563953209
661,64,-435.42199038306705,0.051674383193885544,14.819451234944015
662,64,-701.3905936640713,0.05087286102592445,56.64560476476188
663,64,-1681.7656435848326,0.04993982041281497,29.909385852598447
664,64,-778.6306203864706,0.04896819640452887,18.57353847657112
665,64,-728.6534280937318,0.04905232729264065,37.628050675516455
666,64,-1762.6458323342017,0.0479318246781126,50.489783361172705
667,64,-1486.7244991079922,0.048250690062090165,33.998085116151564
668,64,-263.5163043513143,0.04719063415618824,2.2194906400902923
669,64,-484.8822561243192,0.04705632327111238,39.8063566752798
670,64,-574.6919947829233,0.3692046959940999,34.59647856773792
671,64,-1187.4856998337814,0.22520599188431858,36.986043577703896
672,64,-291.2042901317437,0.17437406224064744,2.232625112395136
673,64,-658.5655934221104,0.14693288336442514,42.40286691319998
674,64,-2122.7120740772,0.12747527188052402,43.82945965894756
675,64,-584.0407486103065,0.1154068255642304,15.463773898183995
